Set,Emotivity,old_q_num,new_q_num,V,VV,bare_verb,object,emotivity rating,verb_freq,obj_freq,exclude
1,pos,101_Pos,301,看烟花,看烟花,看,烟花,5.834783,2086.08,7.15,
1,neg,101_Neg,302,看打架,看看打架,看,打架,3.208696,2086.08,16.33,
2,pos,102_Pos,303,买礼物,买买礼物,买,礼物,5.034783,467.15,51.76,
2,neg,102_Neg,304,买材料,买买材料,买,材料,4.147826,467.15,83.19,
3,pos,103_Pos,305,听音乐,听听音乐,听,音乐,6.278261,535.37,185.13,
3,neg,103_Neg,306,听新闻,听听新闻,听,新闻,4.034783,535.37,197.87,
4,pos,104_Pos,307,帮妈妈,帮帮妈妈,帮,妈妈,5.295652,217.27,286.96,
4,neg,104_Neg,308,帮小偷,帮帮小偷,帮,小偷,1.382609,217.27,14.43,
5,pos,105_Pos,309,在岛上走,在岛上走走,走,岛,5.356522,818.89,56.97,y
5,neg,105_Neg,310,在楼道走,在楼道走走,走,楼道,3.617391,818.89,7.87,y
6,pos,106_Pos,311,跟朋友见面,跟朋友见见面,见面,朋友,6.095652,55.87,391.68,y
6,neg,106_Neg,312,跟老师见面,跟朋友见见面,见面,老师,3.634783,55.87,364.72,y
7,pos,107_Pos,313,洗水果,洗洗水果,洗,水果,4.086957,96.19,29.57,
7,neg,107_Neg,314,洗手,洗洗手,洗,手,4.765217,96.19,372.09,
8,pos,108_Pos,315,陪小孩,陪陪小孩,陪,小孩,3.504348,77.17,63.53,
8,neg,108_Neg,316,陪犯人,陪陪犯人,陪,犯人,1.721739,77.17,15.9,
9,pos,109_Pos,317,吃蛋糕,吃吃蛋糕,吃,蛋糕,5.6,674.58,17.86,
9,neg,109_Neg,318,吃药,吃吃药,吃,药,2.373913,674.58,67.9,
10,pos,110_Pos,319,问爸爸,问问爸爸,问,爸爸,4.452174,678.76,189.18,
10,neg,110_Neg,320,问警察,问问警察,问,警察,3.165217,678.76,116.75,
11,pos,111_Pos,321,爬树,爬爬树,爬,树,3.4,51.39,83.41,
11,neg,111_Neg,322,爬梯子,爬爬梯子,爬,梯子,3.495652,51.39,4.56,
12,pos,112_Pos,323,讲愿望,讲讲愿望,讲,愿望,4.234783,299.85,31.65,
12,neg,112_Neg,324,讲错误,讲讲错误,讲,错误,3.478261,299.85,72.98,
13,pos,113_Pos,325,试鞋子,试试鞋子,试,鞋子,4.86087,115.89,15.37,
13,neg,113_Neg,326,试武器,试试武器,试,武器,3.591304,115.89,33.65,
14,pos,114_Pos,327,尝点心,尝尝点心,尝,点心,5.973913,32.05,13.31,
14,neg,114_Neg,328,尝蜘蛛,尝尝蜘蛛,尝,蜘蛛,1.443478,32.05,6.62,
15,pos,115_Pos,329,坐游艇,坐坐游艇,坐,游艇,5.582609,417.25,3.34,
15,neg,115_Neg,330,坐出租车,坐坐出租车,坐,出租车,3.982609,417.25,52.04,
16,pos,116_Pos,331,打盹,打打盹,打,盹,5.478261,477.04,1.36,
16,neg,116_Neg,332,打针,打打针,打,针,2.226087,477.04,25.61,
1,neutral,201_Neutral,333,打电话,打打电话,打,电话,4.295652,477.04,365.5,
2,neutral,202_Neutral,334,骑自行车,骑骑自行车,骑,自行车,4.695652,56.6,51.83,
3,neutral,203_Neutral,335,看书,看看书,看,书,4.947826,2086.08,366.39,
4,neutral,204_Neutral,336,抽烟,抽抽烟,抽,烟,1.721739,52.13,81.72,
5,neutral,205_Neutral,337,看电视,看看电视,看,电视,5.443478,2086.08,133.7,
